car_make,car_model,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Chevrolet,Caprice,2015,204000,Automatic,,,,,            Drive          ,8,,85000
MG,ZS,2018,131000,Automatic,,,,,            Drive          ,4,,35000
Ford,Explorer,2010,179000,Automatic,,,,,            Drive          ,6,,16000
Kia,Cerato,2015,154000,Automatic,,,,,            Drive          ,4,,36500
Ford,Focus,2012,146000,Automatic,,,,,            Drive          ,4,,26000
Chevrolet,Epica,2011,268000,Automatic,,,,,            Drive          ,4,,10000
Chevrolet,Tahoe,2015,105000,Automatic,,,,,            Drive          ,8,,88000
Hyundai,Veloster,2016,169000,Automatic,,,,,            Drive          ,4,,39000
Ford,Taurus,2015,300000,Automatic,,,,,            Drive          ,6,,46000
Hyundai,Genesis,2016,168000,Automatic,,,,,            Drive          ,8,,65000
Mazda,CX,2021,15000,Automatic,,,,,            Drive          ,4,,86000
Jeep,Renegade,2016,98000,Automatic,,,,,            Drive          ,4,,40000
Chevrolet,Malibu,2017,150000,Automatic,,,,,            Drive          ,4,,51000
Nissan,Navara,2010,491000,Automatic,,,,,            Drive          ,4,,10000
Chevrolet,Suburban,2010,269000,Automatic,,,,,            Drive          ,8,,39000
Chevrolet,Camaro,2015,175000,Automatic,,,,,            Drive          ,8,,71000
Honda,Accord,2018,152000,Automatic,,,,,            Drive          ,4,,78500
Kia,Rio,2013,191000,Automatic,,,,,            Drive          ,4,,24000
Hyundai,Sonata,2020,73000,Automatic,,Yellow,,,            Drive          ,4,,75000
Hyundai,Sonata,2017,159000,Automatic,,,,,            Drive          ,4,,40000
Audi,A8,2015,123000,Automatic,,,,,            Drive          ,6,,117000
Chevrolet,Cruze,2012,255000,Automatic,,,,,            Drive          ,4,,16000
GMC,Yukon,2013,396000,Automatic,,,,,            Drive          ,8,,50000
Toyota,Rav4,2011,186000,Automatic,,,,,            Drive          ,4,,30000
Ford,Explorer,2011,161000,Automatic,,,,,            Drive          ,6,,34000
Ford,Expedition,2016,196000,Automatic,,,,,            Drive          ,6,,71500
Mazda,3,2016,295000,Automatic,,Brown,,,            Drive          ,4,,35000
Hyundai,Accent,2015,383000,Automatic,,,,,            Drive          ,4,,20000
Cadillac,XT5,2019,7000,Automatic,,,,,            Drive          ,6,,170000
Ford,Taurus,2011,363000,Automatic,,,,,            Drive          ,6,,25000
Chevrolet,Malibu,2018,50000,Automatic,,,,,            Drive          ,4,,65000
GMC,Yukon,2021,24000,Automatic,,,,,            Drive          ,8,,335000
Toyota,Fortuner,2015,242000,Automatic,,,,,            Drive          ,4,,55000
Mazda,6,2020,99000,Automatic,,,,,            Drive          ,4,,83500
Hyundai,Genesis,2016,190000,Automatic,,,,,            Drive          ,8,,67000
Ford,Expedition,2013,217000,Automatic,,,,,            Drive          ,8,,38000
Mazda,CX-9,2016,226000,Automatic,,,,,            Drive          ,6,,55000
Mitsubishi,Pajero,2015,195000,Automatic,,,,,            Drive          ,6,,66000
Mercedes-Benz,S-Class,2016,65000,Automatic,,,,,            Drive          ,6,,250000
Chrysler,300C,2013,288000,Automatic,,,,,            Drive          ,8,,46000
Toyota,Camry,2022,7,Automatic,,,,,            Drive          ,5,,149000
Dodge,Charger,2012,192000,Automatic,,,,,            Drive          ,6,,31000
Dodge,Charger,2013,132000,Automatic,,,,,            Drive          ,6,,38000
Dodge,Durango,2013,192000,Automatic,,,,,            Drive          ,6,,36000
Toyota,FJ,2013,333000,Automatic,,,,,            Drive          ,6,,59000
Toyota,Fortuner,2013,210000,Automatic,,,,,            Drive          ,4,,41000
Toyota,FJ,2015,376000,Automatic,,,,,            Drive          ,6,,94000
Lexus,LX,2019,37000,Automatic,,,,,            Drive          ,8,,396000
Changan,CS95,2021,13000,Automatic,,,,,            Drive          ,4,,101500
Mercedes-Benz,G-Class,2016,127000,Automatic,,,,,            Drive          ,8,,284500
Mercedes-Benz,E-Class,2018,65000,Automatic,,,,,            Drive          ,6,,261000
